,bullet,blitz,rapid,classical
2021-12-16,36,0,0,0
2021-12-17,23,0,0,0
2021-12-18,28,0,0,0
2021-12-19,10,0,0,0
2021-12-20,21,0,0,0
2021-12-21,8,0,0,0
2021-12-22,5,0,0,0
2021-12-23,6,0,0,0
2021-12-24,35,0,0,0
2021-12-25,29,0,0,0
2021-12-26,26,0,0,0
2021-12-27,11,3,0,0
2021-12-28,11,0,0,0
2021-12-29,23,0,0,0
2021-12-30,19,0,0,0
2021-12-31,20,0,0,0
2022-01-01,8,0,0,0
2022-01-02,3,0,0,0
2022-01-03,1,0,0,0
2022-01-04,7,0,0,0
2022-01-05,5,0,0,0
2022-01-06,2,0,0,0
2022-01-07,6,1,0,0
2022-01-08,1,0,0,0
2022-01-09,0,0,0,0
2022-01-10,0,0,0,0
2022-01-11,9,0,0,0
2022-01-12,0,0,0,0
2022-01-13,0,0,0,0
2022-01-14,0,0,0,0
2022-01-15,0,0,0,0
2022-01-16,3,0,0,0
2022-01-17,0,0,0,0
2022-01-18,0,0,0,0
2022-01-19,0,0,0,0
2022-01-20,0,0,0,0
2022-01-21,0,1,0,0
2022-01-22,3,0,0,0
2022-01-23,0,0,0,0
2022-01-24,0,0,0,0
2022-01-25,0,0,0,0
2022-01-26,0,0,0,0
2022-01-27,1,0,0,0
2022-01-28,0,0,0,0
2022-01-29,0,0,0,0
2022-01-30,0,0,0,0
2022-01-31,0,0,0,0
2022-02-01,6,0,0,0
2022-02-02,0,0,0,0
2022-02-03,4,0,0,0
2022-02-04,4,0,0,0
2022-02-05,1,0,0,0
2022-02-06,2,0,0,0
2022-02-07,0,0,0,0
2022-02-08,3,0,0,0
2022-02-09,0,0,0,0
2022-02-10,0,0,0,0
2022-02-11,0,0,0,0
2022-02-12,0,0,0,0
2022-02-13,0,0,0,0
2022-02-14,0,0,0,0
2022-02-15,0,0,0,0
2022-02-16,0,0,0,0
2022-02-17,0,0,0,0
2022-02-18,0,0,0,0
2022-02-19,0,0,0,0
2022-02-20,17,0,0,0
2022-02-21,8,0,0,0
2022-02-22,0,0,0,0
2022-02-23,1,0,0,0
2022-02-24,17,4,0,0
2022-02-25,19,0,0,0
2022-02-26,49,0,0,0
2022-02-27,18,0,0,0
2022-02-28,10,0,0,0
2022-03-01,22,0,0,0
2022-03-02,3,0,0,0
2022-03-03,7,0,0,0
2022-03-04,2,0,0,0
2022-03-05,16,0,0,0
2022-03-06,9,0,0,0
2022-03-07,24,0,0,0
2022-03-08,13,0,0,0
2022-03-09,33,0,0,0
2022-03-10,20,0,0,0
2022-03-11,20,0,0,0
2022-03-12,8,0,0,0
2022-03-13,37,0,0,0
2022-03-14,27,0,0,0
2022-03-15,25,0,0,0
2022-03-16,25,0,0,0
2022-03-17,7,0,0,0
2022-03-18,17,0,0,0
2022-03-19,14,0,0,0
2022-03-20,46,0,0,0
2022-03-21,16,0,0,0
2022-03-22,22,0,0,0
2022-03-23,10,0,0,0
2022-03-24,14,0,0,0
2022-03-25,5,0,0,0
2022-03-26,13,0,0,0
2022-03-27,19,0,0,0
2022-03-28,6,0,0,0
2022-03-29,19,0,0,0
2022-03-30,13,0,0,0
2022-03-31,9,0,0,0
2022-04-01,15,0,0,0
2022-04-02,27,0,0,0
2022-04-03,11,0,0,0
2022-04-04,30,0,0,0
2022-04-05,17,0,0,0
2022-04-06,25,0,0,0
2022-04-07,20,0,0,0
2022-04-08,26,0,0,0
2022-04-09,18,0,0,0
2022-04-10,17,0,0,0
2022-04-11,20,0,0,0
2022-04-12,0,0,0,0
2022-04-13,19,0,0,0
2022-04-14,10,0,0,0
2022-04-15,24,0,0,0
2022-04-16,21,0,0,0
2022-04-17,10,0,0,0
2022-04-18,12,0,0,0
2022-04-19,0,0,0,0
2022-04-20,0,0,0,0
2022-04-21,3,0,0,0
2022-04-22,2,0,0,0
2022-04-23,6,0,0,0
2022-04-24,11,0,0,0
2022-04-25,12,0,0,0
2022-04-26,5,0,0,0
2022-04-27,5,0,0,0
2022-04-28,11,0,0,0
2022-04-29,1,0,0,0
2022-04-30,1,0,0,0
